HHID	CHOSEN	INCOME	HHSIZE	NUMVEH	WOMEN	MEN	NWORK	NCHILD	NYCHILD	ETHN	DIST	NBIKES	PTRANSP	SOLARPAN	WALKBIKE	TELECO	PSENIORS	GRAD	POPDENSE	NEIGHB	SMARTPH	SPOOL	CABLE	COST
29	2	1	3	1	1	2	1	2	0	1	1.143402025	1	0	0	1	1	0	0	1297.666093	0	1	0	0	1.149251486
30	1	2	4	2	3	1	1	2	0	2	1.770115599	0	0	0	0	0	0	0	20352.19346	0	0	1	0	1.000983916
31	2	3	5	3	2	3	3	2	1	1	1.910587324	2	0	0	0	0	0	2	14417.10593	1	3	0	1	1.342314234
32	1	3	4	3	2	2	3	1	0	1	2.933042485	1	0	0	0	0	0	2	426.2704442	0	0	0	1	1.313714477
33	1	1	7	1	4	3	2	3	0	4	6.564628893	2	0	1	1	0	1	0	631.0466064	0	3	0	0	0.620727051
34	2	1	1	1	1	0	1	0	0	1	2.668645745	0	0	0	0	0	0	0	395.6836147	0	0	1	0	1.206664543
35	2	2	2	0	0	2	2	0	0	1	5.98148582	0	0	0	1	0	0	1	765.280008	0	1	0	0	0.820800023
36	2	1	3	1	2	1	2	0	0	3	0.974435993	0	0	0	1	0	1	0	1056.820673	0	0	1	0	0.602306467
37	1	1	1	1	1	0	1	0	0	4	2.80947153	0	1	0	0	0	0	0	648.7258822	0	0	0	0	0.455483081
38	2	1	1	1	0	1	1	0	0	1	1.267938371	0	0	0	0	1	0	0	31582.8497	0	0	0	0	0.975122951
39	1	2	6	2	2	4	2	0	0	4	2.597712326	2	0	0	0	0	0	0	429.1811652	0	5	0	0	0.902550849
40	2	2	4	2	4	0	1	3	1	1	2.278094475	1	0	0	1	0	0	0	649.6065513	0	0	0	0	1.383843939
41	2	1	4	0	3	1	2	0	0	4	1.639659321	2	0	0	0	0	1	0	776.5458766	1	3	0	0	1.299031132
42	2	1	4	2	4	0	2	2	1	1	1.723023107	1	0	0	0	0	0	0	691.7227863	0	2	0	0	0.858860671
43	2	2	1	1	0	1	1	0	0	2	1.754179003	0	1	0	0	1	0	0	28213.16375	0	0	0	1	0.413424962
44	2	1	1	1	0	1	1	0	0	1	2.158066663	0	1	0	1	0	0	0	12883.36566	0	0	0	1	0.682042345
45	1	2	3	2	1	2	1	2	0	1	1.505254936	0	0	0	1	0	0	0	712.7236208	0	2	0	1	0.73394055
46	1	1	2	1	1	1	1	1	0	2	1.269601425	0	0	0	0	0	0	0	36265.91317	0	1	0	0	0.915157896
47	2	3	3	2	1	2	2	0	0	3	1.026275027	1	1	0	1	1	1	0	781.0789251	0	2	1	1	0.777386256
48	2	1	3	2	1	2	2	1	0	2	2.541754235	1	0	0	1	0	0	0	608.1393675	0	2	0	0	0.607428906
49	2	2	1	2	0	1	1	0	0	1	5.768285876	0	0	0	0	0	0	0	20828.69942	0	0	0	0	1.248411426
50	1	2	1	2	1	0	1	0	0	1	1.520034099	0	0	0	0	0	0	0	771.5726393	1	0	0	0	1.089084354
51	2	1	2	0	1	1	1	1	0	1	2.933871101	0	1	0	1	0	0	0	268.5265282	0	1	0	0	0.71417084
52	2	2	1	1	0	1	1	0	0	1	1.88093154	0	0	0	0	0	0	0	1246.143684	0	0	0	0	1.138481715
53	2	2	3	1	0	3	2	0	0	4	1.389929603	1	0	0	0	0	1	0	1059.345952	0	2	1	0	1.305061061
54	1	1	4	0	1	3	1	3	2	1	2.309727611	1	1	0	1	0	0	0	482.0305521	1	0	0	1	0.586822991
55	2	2	4	0	0	4	1	3	0	4	2.397317838	1	0	0	1	0	0	0	748.6989271	1	1	1	1	1.164539838
56	2	3	3	2	2	1	3	0	0	2	2.701329572	1	1	0	0	0	0	0	23250.26217	1	0	0	1	0.797440546
57	2	1	1	2	1	0	1	0	0	1	2.529526766	0	0	0	0	0	0	0	33947.58728	0	0	0	0	1.225448789
58	2	2	2	1	1	1	1	1	0	2	1.502270925	0	0	0	1	1	0	0	583.2398918	1	1	0	1	1.15718882
59	2	2	1	1	1	0	1	0	0	1	2.586099817	0	0	0	1	0	0	0	1310.561808	0	0	0	0	1.31875359
60	2	1	4	1	1	3	2	2	0	4	1.316522458	1	0	0	1	1	0	0	715.3697619	0	0	0	1	0.705488782
61	2	1	2	1	2	0	1	1	0	4	2.247442511	0	0	0	1	0	0	0	12402.88812	0	0	0	0	1.219114385
62	2	1	2	1	2	0	1	0	0	1	6.912810083	0	0	0	1	0	1	0	1081.736363	0	0	0	0	1.172852316
63	2	2	2	0	1	1	1	1	0	3	2.162537845	0	0	0	1	0	0	0	1033.620728	0	1	1	1	1.107595534
64	2	2	2	1	1	1	1	1	0	4	2.652531599	0	1	0	1	0	0	0	787.0316075	1	1	0	1	1.199254535
65	1	1	2	0	0	2	2	0	0	4	2.613211703	0	0	0	1	0	0	0	26884.9521	0	0	0	0	1.293309234
66	1	3	1	4	0	1	1	0	0	2	2.462988927	0	0	0	0	0	0	0	647.5028522	0	0	0	0	0.444634139
67	1	2	2	1	0	2	2	0	0	3	3.084325625	0	0	0	0	1	0	0	525.2067355	1	1	0	1	1.15122911
68	1	2	4	2	3	1	1	3	0	4	1.681800385	0	0	0	1	0	0	0	597.7675217	1	1	1	0	0.800030113
69	2	2	1	1	1	0	1	0	0	1	2.775504766	0	1	0	0	0	0	0	33792.16448	0	0	0	1	0.851834429
70	2	1	1	2	0	1	1	0	0	3	1.444388123	0	0	0	1	0	0	0	1121.591116	1	0	0	0	0.975850814
71	2	1	1	0	0	1	1	0	0	4	2.49418537	0	0	0	0	1	0	0	529.9159654	0	0	0	0	0.587974812
72	1	1	7	1	5	2	1	5	0	1	2.785888457	4	1	0	0	0	0	0	966.7183973	0	5	0	0	0.434375005
73	2	1	3	0	3	0	1	2	0	1	1.317851859	0	1	0	0	0	0	0	953.3852908	0	0	0	1	1.066543208
74	2	1	3	0	3	0	1	1	0	1	4.895603422	1	0	0	0	0	1	0	16763.02525	0	1	0	0	0.885369241
75	2	1	4	0	1	3	1	3	2	4	2.275142402	2	0	0	0	0	0	0	560.3802975	0	1	0	0	0.68662409
76	2	1	3	0	2	1	1	2	1	1	2.935105469	1	0	0	0	1	0	0	1412.482452	0	0	0	0	1.290921101
77	2	1	3	1	2	1	1	1	0	1	2.038757098	0	0	1	0	0	1	0	534.1032045	0	0	0	0	0.413708003
78	2	1	4	1	3	1	1	1	0	1	1.378767485	1	0	0	0	0	1	2	1061.665306	0	3	0	0	1.324909049
79	2	1	6	0	3	3	1	5	4	4	1.665373656	3	0	0	1	0	0	0	222.9486122	0	1	0	0	0.518366216
80	2	2	2	1	1	1	2	0	0	4	1.422680749	0	0	0	0	0	0	0	1088.567504	0	1	1	0	0.62045228
81	2	2	1	1	1	0	1	0	0	4	1.664065659	0	0	0	1	0	0	0	697.0067915	1	0	0	0	0.775182971
82	2	2	1	2	0	1	1	0	0	4	1.001236152	0	0	0	0	1	0	0	22451.99036	1	0	1	1	0.743430304
83	1	1	2	1	2	0	1	0	0	4	1.778669032	0	1	0	1	0	1	0	247.9382213	0	1	0	0	0.505544169
84	1	1	5	1	3	2	2	3	1	3	2.132604704	2	0	0	0	0	0	0	1134.552603	0	1	0	1	0.437448714
85	2	3	5	2	2	3	1	4	0	4	2.628565608	3	0	0	0	0	0	0	592.3763517	0	2	1	1	0.428262659
86	2	1	3	2	0	3	1	2	1	4	6.78235908	1	0	0	0	0	0	0	1216.777634	0	0	0	0	0.722457061
87	2	1	3	0	0	3	1	1	0	4	1.868206793	0	1	0	0	0	0	0	1411.010078	1	0	1	0	0.949312259
88	2	1	2	0	1	1	1	1	0	4	2.684237166	0	0	0	0	0	0	0	294.6259489	0	1	0	0	0.922327315
89	2	2	3	0	2	1	1	2	1	1	4.539736948	1	0	0	0	0	0	0	722.5247286	1	0	0	0	1.054739397
90	1	3	3	1	1	2	1	2	0	4	5.049757209	0	0	0	0	0	0	0	1011.174751	0	1	1	1	0.502533363
91	2	1	4	2	1	3	1	3	2	1	4.693490338	2	0	0	0	0	0	0	710.4478455	1	0	0	0	0.504515703
92	2	1	3	0	1	2	1	2	0	4	2.949183445	1	0	0	0	1	0	0	392.0545966	0	1	0	1	0.785594973
93	2	1	1	1	1	0	1	0	0	4	2.854024068	0	0	0	0	0	0	0	1164.853975	0	0	0	0	1.380352207
94	1	1	4	1	2	2	1	2	0	2	2.410771261	2	1	0	0	0	1	0	14251.65954	0	1	0	0	1.282303564
95	2	1	3	1	1	2	1	2	0	1	2.06950371	1	0	0	0	0	0	0	1000.541284	0	0	1	0	1.0186226
96	2	3	1	3	1	0	1	0	0	4	2.14201521	0	1	0	1	0	0	0	19579.11412	0	0	1	1	0.46338231
97	2	2	3	1	2	1	2	1	0	1	6.684564575	0	0	0	1	0	0	0	838.1955397	0	0	0	0	0.735316928
98	2	1	3	1	2	1	1	2	1	1	1.939325852	1	0	0	0	1	0	0	223.3218983	0	0	0	1	1.083451473
99	1	2	1	1	0	1	1	0	0	4	1.634862542	0	0	0	1	0	0	0	18902.5828	0	0	0	1	1.387824935
100	2	1	1	1	0	1	1	0	0	1	2.657140142	0	1	0	1	1	0	0	204.5654234	0	0	1	1	0.877604251
101	2	1	4	0	3	1	1	3	2	4	1.400593621	0	1	0	0	0	0	0	472.6211994	1	0	0	0	0.558215974
102	2	1	1	0	0	1	1	0	0	1	2.089200488	0	0	0	1	1	0	0	829.1219225	0	0	0	0	0.619199918
103	1	2	3	1	2	1	3	0	0	4	2.7934125	1	0	0	0	0	0	0	11957.21391	0	1	0	0	0.514523776
104	2	1	1	2	0	1	1	0	0	4	6.098400112	0	1	0	0	0	0	0	21432.16296	0	0	0	0	1.081378496
105	2	1	3	0	1	2	2	1	0	3	1.747701547	1	0	1	0	0	0	0	21128.82547	0	1	0	0	0.530071792
106	1	2	1	0	0	1	1	0	0	4	2.538867922	0	0	0	0	0	0	0	26366.96211	0	0	1	0	0.916111623
107	2	2	1	2	1	0	1	0	0	4	1.272058396	0	0	0	0	0	0	0	18012.80108	0	0	0	0	1.10866367
108	2	3	1	2	0	1	1	0	0	2	2.483750141	0	0	0	0	0	0	0	26140.54439	0	0	1	1	0.565871517
109	1	3	1	3	0	1	1	0	0	3	2.997515118	0	0	0	0	0	0	0	13105.76443	0	0	1	1	0.791189185
110	2	1	2	0	0	2	1	1	0	3	2.669917953	0	0	0	0	0	0	0	766.2398884	1	1	1	0	1.054877266
111	2	1	2	1	1	1	1	1	0	4	1.420460537	0	1	0	0	0	0	0	9635.203524	0	1	0	1	0.878802271
112	1	3	2	1	1	1	2	0	0	4	1.830917853	0	1	0	1	0	0	0	716.1976925	0	1	0	1	1.176253553
113	2	1	5	0	1	4	1	4	3	1	1.764777411	3	1	0	0	0	0	0	34018.50749	0	0	0	0	0.72151938
114	2	2	1	2	1	0	1	0	0	4	2.526003338	0	0	0	0	0	0	0	1016.043003	0	0	0	0	0.795851664
115	2	1	1	1	0	1	1	0	0	1	1.207400912	0	0	0	0	0	0	0	1381.595441	0	0	0	0	1.3947628
116	2	1	3	1	1	2	2	1	0	1	1.312971106	1	0	0	0	0	0	0	1157.231583	0	0	0	0	0.880090556
117	2	3	3	1	3	0	1	1	0	1	1.597842835	0	1	0	1	0	1	0	28267.81157	0	1	1	0	0.652925107
118	2	2	4	1	1	3	2	1	0	3	2.572726238	1	0	0	0	0	0	2	22044.57949	1	2	0	1	0.608697761
119	2	1	2	0	1	1	1	0	0	1	2.140212929	0	0	1	0	0	1	1	399.1570483	1	1	0	1	1.147633845
120	2	2	6	1	4	2	1	4	1	3	2.255414944	0	0	0	1	0	1	1	183.8798824	0	0	0	0	0.78963601
121	2	3	1	1	1	0	1	0	0	2	1.941260454	0	1	0	0	1	0	0	26687.11247	0	0	1	0	0.836297853
122	2	3	4	3	2	2	1	3	2	4	1.744855845	0	0	0	0	0	0	0	720.2185376	0	0	0	1	0.74066131
123	2	2	2	0	0	2	1	1	0	4	2.839710269	0	0	0	0	0	0	0	396.2081977	1	1	0	0	1.018130994
124	2	2	5	0	2	3	1	4	3	1	2.070744576	3	0	0	1	0	0	0	29562.10537	0	0	0	1	0.48006279
125	2	1	3	0	2	1	1	2	0	4	1.725927704	0	0	0	0	0	0	0	415.3813083	0	0	0	0	0.906291488
126	2	2	2	1	1	1	1	1	0	1	2.392140976	0	0	0	1	0	0	0	12404.15468	0	1	1	1	0.506297697
127	2	1	1	1	0	1	1	0	0	3	1.186457927	0	1	1	0	0	0	0	973.7716606	0	0	0	0	1.278227652
128	2	1	1	2	1	0	1	0	0	4	6.219218963	0	0	0	0	0	0	0	806.9983732	0	0	0	0	1.111133094
129	2	1	2	1	1	1	1	1	0	2	2.711438265	0	0	0	0	1	0	0	465.1409238	1	1	0	0	1.237370487
130	1	2	1	1	0	1	1	0	0	1	2.264263134	0	0	0	1	0	0	0	1064.707112	0	0	1	0	1.223988908
131	1	1	3	1	3	0	1	2	0	3	1.857698182	0	1	0	0	0	0	0	895.8705573	0	1	1	1	0.745675138
132	2	3	3	1	2	1	1	2	0	4	5.695350404	0	1	0	0	1	0	0	29509.35745	0	2	1	1	0.773348471
133	2	3	4	2	2	2	3	0	0	4	2.946735582	0	0	0	0	0	1	3	1357.863762	0	1	0	0	1.34384483
134	1	2	2	1	0	2	1	1	0	4	1.283374855	0	0	0	1	0	0	0	16685.38112	0	1	0	1	0.608403045
135	2	1	1	2	1	0	1	0	0	4	2.093387158	0	0	0	0	0	0	0	684.606198	0	0	0	0	1.406860657
136	2	1	1	1	1	0	1	0	0	1	2.466801361	0	0	0	0	0	0	0	92.57341239	0	0	0	0	0.952212557
137	1	2	1	1	1	0	1	0	0	1	2.53065277	0	0	0	0	0	0	0	23937.33223	0	0	0	1	1.277619548
138	1	3	2	1	2	0	1	1	0	4	2.593611902	0	0	0	0	0	0	0	774.2419751	1	0	1	1	1.198633039
139	2	3	3	1	1	2	1	2	0	1	1.041694738	0	0	0	1	0	0	0	1436.940519	0	1	0	1	0.72421994
140	1	1	7	0	7	0	1	6	2	4	1.339217317	4	1	0	0	1	0	0	223.3386527	0	2	0	1	1.201736132
141	2	1	1	0	1	0	1	0	0	3	1.430977313	0	0	0	0	0	0	0	387.6518563	0	0	0	0	0.459932645
142	2	2	1	2	0	1	1	0	0	1	6.882548955	0	0	0	1	0	0	0	545.7708368	0	0	0	1	0.842995832
143	1	2	3	2	3	0	1	2	1	4	1.168327369	1	0	0	0	0	0	0	14911.45106	0	1	0	1	0.420070766
144	2	2	1	1	1	0	1	0	0	4	1.939190517	0	0	0	1	0	0	0	885.4713293	0	0	1	0	0.401320307
145	2	1	2	1	0	2	1	1	0	1	1.17890267	0	0	0	0	0	0	0	335.3220126	1	1	0	0	0.743469062
146	1	3	2	3	1	1	2	0	0	2	2.490297865	0	0	0	1	0	0	0	567.7517475	1	0	0	1	1.380172107
147	2	3	1	3	0	1	1	0	0	3	6.68779361	0	0	0	0	0	0	0	1208.276505	0	0	1	1	0.431975927
148	2	1	2	1	2	0	1	0	0	2	6.941225128	0	1	0	1	0	1	1	1239.265832	0	1	0	0	1.291802883
149	1	1	2	2	2	0	1	1	0	1	1.062500987	0	0	0	0	0	0	0	280.8774807	0	0	0	0	0.683825301
150	2	1	3	0	1	2	1	2	0	4	1.428922919	1	0	0	0	0	0	0	24747.21103	0	0	0	0	0.571275745
151	2	1	2	0	1	1	1	0	0	4	1.53747065	0	0	0	0	0	1	0	663.4823003	0	0	0	0	1.282179228
152	1	3	2	1	0	2	1	0	0	3	1.887124714	0	0	0	0	0	1	0	549.5719426	0	0	1	0	1.020425692
153	1	2	4	0	4	0	1	2	0	1	1.49737284	0	0	0	0	0	1	1	427.157112	0	3	0	1	0.623022774
154	2	2	1	1	0	1	1	0	0	3	1.227107816	0	0	0	0	1	0	0	904.4189885	0	0	1	0	0.415987044
155	2	2	4	1	1	3	1	2	1	4	1.727258997	0	0	0	1	0	0	1	771.0849597	0	0	0	1	0.422090191
156	2	1	3	2	1	2	1	0	0	1	4.740929841	0	1	0	0	0	0	0	705.255965	0	1	0	0	1.042380031
157	2	2	3	1	1	2	2	1	0	3	1.363883992	0	0	0	0	0	0	0	481.7626372	0	0	0	0	1.232062285
158	2	2	4	0	2	2	1	3	2	4	0.927699732	1	0	0	0	0	0	0	14077.51668	0	0	0	1	1.035983655
159	1	2	2	1	2	0	1	0	0	1	1.056104582	0	0	0	1	0	1	0	1063.245697	1	0	0	1	1.175759079
160	2	3	1	1	1	0	1	0	0	4	1.388605679	0	0	0	0	0	0	0	497.8336055	0	0	1	1	0.896070838
161	2	3	1	1	0	1	1	0	0	2	2.129928705	0	0	1	0	0	0	0	485.917945	0	0	1	1	0.634890667
162	2	2	6	2	2	4	4	1	0	4	1.297018968	1	0	0	1	0	1	0	474.9989276	0	1	1	1	0.536152373
163	2	2	4	0	2	2	2	1	0	3	2.686156551	0	0	0	0	0	1	0	1125.937829	0	2	1	0	0.946370554
164	2	3	1	2	0	1	1	0	0	1	2.21812304	0	0	0	0	1	0	0	1154.765678	0	0	1	1	0.686888399
165	2	2	1	0	0	1	1	0	0	2	2.725122944	0	0	1	0	0	0	0	510.0992231	1	0	1	0	1.300081491
166	2	2	1	0	1	0	1	0	0	4	2.107176294	0	0	0	0	0	0	0	891.1283369	0	0	0	1	0.848106216
167	2	2	1	2	0	1	1	0	0	4	2.785277153	0	0	1	1	1	0	0	611.819124	0	0	0	1	0.931504226
168	2	2	1	1	1	0	1	0	0	4	2.840333796	0	1	0	0	0	0	0	24792.16749	0	0	0	1	0.533292629
169	1	2	2	0	1	1	1	1	0	4	1.109956825	0	0	0	0	0	0	0	610.8168173	1	1	0	1	1.2287357
170	2	1	3	0	3	0	3	0	0	4	1.905242475	0	0	0	0	0	0	2	329.2044054	0	2	0	0	1.027253279
171	2	2	1	1	0	1	1	0	0	4	5.239977105	0	0	0	0	0	0	0	500.9811292	0	0	0	1	0.928075852
172	2	2	2	1	1	1	1	1	0	3	1.774411883	0	0	1	0	0	0	0	787.2978078	0	1	1	0	0.875391838
173	2	1	2	2	1	1	2	0	0	2	4.441671597	0	0	0	0	1	0	0	16116.69986	0	1	0	0	0.518449427
174	1	2	3	0	1	2	1	2	0	4	1.631721465	0	0	0	1	0	0	0	20360.55875	0	1	0	1	1.327197325
175	2	2	1	0	1	0	1	0	0	1	6.219168143	0	0	1	0	1	0	0	18656.55067	0	0	0	1	0.856899301
176	2	2	2	2	1	1	1	1	0	3	1.830070522	0	0	0	0	0	0	0	1000.391698	0	1	0	1	0.516809442
177	2	1	3	0	0	3	3	0	0	1	5.405749097	0	0	0	1	0	0	0	1171.039881	0	0	0	0	0.643819103
178	1	1	2	0	1	1	2	0	0	4	4.697731841	0	0	0	0	1	0	0	499.6527713	0	0	0	0	0.790310144
179	2	1	4	1	2	2	1	3	0	3	4.881682438	1	1	0	0	0	0	0	768.8051689	0	0	0	0	1.339708459
180	2	1	2	2	0	2	1	1	0	1	4.697979312	0	1	0	0	0	0	0	16115.94159	0	1	1	0	0.577027639
181	1	3	3	4	0	3	1	2	1	1	2.44105357	1	0	0	0	0	0	0	11469.35729	0	1	0	0	0.511044457
182	1	1	3	1	2	1	1	2	0	1	7.102833975	0	0	0	0	0	0	0	7616.671994	0	1	0	0	1.405825103
183	1	3	3	3	2	1	2	1	0	1	5.277393056	0	0	0	0	0	0	0	14280.04039	1	0	1	1	0.647447361
184	1	1	2	0	1	1	2	0	0	2	2.801913048	0	0	0	0	1	0	1	624.4551089	0	1	1	0	1.300970484
185	2	3	3	1	0	3	1	2	1	1	1.337390133	0	1	0	0	1	0	0	556.7554731	0	1	0	1	0.596865244
186	1	1	4	1	4	0	3	0	0	3	1.470614454	2	0	0	1	0	0	2	777.1264431	0	3	0	0	0.990995779
187	2	2	2	0	1	1	1	1	0	3	1.115913065	0	0	0	1	1	0	0	1246.015494	0	0	0	1	0.45872645
188	2	1	4	0	1	3	1	3	1	4	2.515634637	0	0	0	0	0	0	0	16188.44491	0	1	0	0	0.403281717
189	2	1	2	0	2	0	1	1	0	1	2.303229899	0	0	1	0	0	0	0	14199.49171	1	0	0	0	0.546234239
190	2	2	1	2	1	0	1	0	0	4	5.987105339	0	0	0	0	0	0	0	30442.05234	0	0	1	0	0.593825319
191	2	2	3	1	1	2	3	0	0	3	2.305275557	1	0	0	0	0	0	2	20828.15733	0	0	0	1	0.556103512
192	2	1	3	1	0	3	1	2	1	4	4.561306105	1	0	0	0	0	0	0	686.3422272	0	0	0	0	0.552578007
193	2	3	4	3	1	3	1	2	1	2	5.207532824	2	0	0	0	0	1	0	800.3846225	1	1	0	1	1.327419451
194	2	1	4	1	4	0	1	3	0	3	2.241014376	0	0	0	0	0	0	0	1098.262031	0	2	0	0	0.47406168
195	2	1	1	1	1	0	1	0	0	4	3.280143756	0	0	0	0	0	0	0	358.9103712	0	0	0	0	0.646970838
196	2	2	2	2	2	0	1	0	0	1	1.963305571	0	0	0	0	0	0	1	827.3189045	0	1	1	1	0.842857915
197	2	2	3	2	2	1	1	1	0	4	2.433214535	1	0	0	1	0	1	0	722.1342617	1	1	0	1	1.05843743
198	1	3	2	3	1	1	1	1	0	4	1.978903035	0	0	0	0	1	0	0	1169.491979	1	1	0	1	0.923154124
199	2	3	1	1	1	0	1	0	0	1	1.125954624	0	1	0	1	1	0	0	515.4992646	0	0	1	1	1.251024681
200	1	1	4	0	2	2	1	3	1	4	1.52061006	1	0	0	0	0	0	0	19072.10586	0	2	0	0	0.454845921
201	2	3	4	1	3	1	2	2	1	1	2.763553508	1	0	0	0	0	0	0	556.3815086	0	2	1	1	1.202291005
202	2	2	4	2	2	2	2	0	0	1	2.052091419	1	1	0	0	1	0	0	10318.95323	0	3	1	1	1.264886326
203	2	2	4	0	2	2	1	3	2	3	1.87661123	2	0	0	0	0	0	0	966.5101916	0	1	0	0	0.442633452
204	2	1	5	0	3	2	1	1	0	1	1.778873485	3	0	1	0	0	1	0	1304.948707	0	2	0	0	1.121013966
205	1	1	3	1	0	3	3	0	0	4	1.951248972	1	0	0	0	1	0	0	646.7894484	0	2	0	0	0.403026577
206	2	2	3	0	1	2	1	2	0	4	1.383810948	1	0	0	0	0	0	0	25524.67849	0	0	0	1	1.39019843
207	2	2	1	1	1	0	1	0	0	1	0.859284586	0	0	0	0	0	0	0	30096.83446	0	0	0	1	0.748436252
208	2	3	2	4	1	1	1	0	0	1	2.967165634	0	1	0	1	0	0	1	749.9233426	0	0	0	1	0.510204086
209	1	1	4	1	1	3	2	2	0	4	2.956935774	0	0	0	1	0	0	0	14767.24444	0	1	0	0	0.713941944
210	2	2	4	2	1	3	1	3	2	1	2.160742056	2	0	0	0	1	0	0	529.7003598	0	0	1	1	0.409229808
211	2	1	2	0	0	2	1	1	0	4	1.632396793	0	0	0	0	1	0	0	31805.69278	0	1	0	1	0.918973351
212	1	3	1	1	0	1	1	0	0	2	1.465774654	0	1	0	1	0	0	0	383.5338927	0	0	0	1	0.974180077
213	2	1	1	0	0	1	1	0	0	4	1.580250704	0	1	0	1	0	0	0	28478.60636	1	0	0	0	0.674887235
214	2	1	1	1	0	1	1	0	0	1	3.060181211	0	0	0	0	1	0	0	98.52528045	0	0	0	1	1.249438102
215	2	2	2	1	0	2	2	0	0	3	2.403207561	0	1	0	0	1	0	1	15232.90369	0	1	0	0	1.149331347
216	1	3	2	2	1	1	1	0	0	4	3.051181121	0	1	0	0	0	0	1	627.3064627	0	0	0	0	1.119133318
217	2	1	1	2	1	0	1	0	0	4	1.579837075	0	1	1	0	1	0	0	713.9813195	1	0	0	0	1.264621978
218	2	1	3	2	0	3	2	0	0	1	2.785455767	1	0	0	0	0	1	0	1046.853315	0	1	0	0	0.741640314
219	2	1	3	1	2	1	1	2	1	2	1.271708059	1	0	0	0	0	0	0	869.1298445	0	1	0	1	0.476322926
220	1	2	2	2	1	1	2	0	0	2	1.591006547	0	0	0	0	0	0	1	259.0216366	1	1	1	1	1.298286632
221	2	2	3	2	1	2	1	1	0	1	2.58798966	0	0	0	1	1	1	0	33273.1409	0	2	0	0	0.405764791
